K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.004,0.032,42,segfold-dtonly,14073,133201,,0.219621,0.417969,6630,67276,131213,9.465004,39.843459,0.0,199.451503,0.0,209.680736,0.979109,0.193136,2.984865,33742,2150016,125225
1024,0.004,0.032,43,segfold-dtonly,14363,136219,,0.226285,0.40625,6935,69144,134122,9.484021,41.463483,0.0,197.769129,0.0,210.251271,1.001601,0.233795,3.130613,34950,2141440,127762
1024,0.004,0.032,44,segfold-dtonly,14628,136640,,0.215082,0.414062,6907,69690,134477,9.34099,38.774747,0.0,200.624829,0.00041,210.427468,1.027892,0.218212,2.94825,35391,2116544,127928
1024,0.004,0.064,42,segfold-dtonly,28323,267005,,0.226244,0.425781,11505,134548,259194,9.427144,41.31402,0.0,198.079582,0.0,210.53942,0.927197,0.328214,3.545811,61312,4295296,236390
1024,0.004,0.064,43,segfold-dtonly,29187,272072,,0.225395,0.46875,11870,138003,263704,9.321684,41.325385,0.0,198.235447,0.0,211.212321,0.912118,0.381574,3.805872,62844,4282368,239110
1024,0.004,0.064,44,segfold-dtonly,29738,276816,,0.222237,0.480469,11713,140636,268063,9.308494,40.415529,0.0,199.069709,0.0,211.594795,0.985036,0.376623,3.525926,65046,4287424,243007
1024,0.004,0.128,42,segfold-dtonly,55974,533801,,0.232913,0.507812,13365,269675,502435,9.536588,42.298389,0.0,196.660753,0.000607,209.873459,0.849752,0.430557,4.321614,106679,8589888,420115
1024,0.004,0.128,43,segfold-dtonly,58369,542058,,0.226608,0.464844,13653,274909,509136,9.286745,41.055492,0.0,198.311655,0.0,211.192705,0.824222,0.493961,4.272199,108838,8565568,422386
1024,0.004,0.128,44,segfold-dtonly,58682,551398,,0.228039,0.484375,13875,280945,517152,9.396374,41.070635,0.0,198.033111,0.000204,211.085324,0.872891,0.491701,4.279796,112387,8564096,427868
1024,0.004,0.256,42,segfold-dtonly,103876,1070797,,0.256635,0.539062,15041,519708,945400,10.308416,45.463996,0.0,191.547123,0.0,205.139705,0.669905,0.522277,5.368998,168378,17195456,675188
1024,0.004,0.256,43,segfold-dtonly,107221,1085011,,0.254099,0.558594,15234,524922,954319,10.119389,44.93699,0.0,192.351787,0.000364,205.550694,0.676453,0.574104,5.495733,170676,17131328,673805
1024,0.004,0.256,44,segfold-dtonly,107691,1104612,,0.256685,0.542969,15276,538639,969511,10.257236,45.271425,0.0,191.734249,0.000176,205.651076,0.699251,0.578916,5.303962,175702,17165056,680786
1024,0.008,0.001,42,segfold-dtonly,1330,8440,,0.077564,0.121094,10,4814,8432,6.345865,4.845113,0.0,234.411278,0.0,229.087218,1.43609,0.0,0.372932,8295,66560,8410
1024,0.008,0.001,43,segfold-dtonly,1361,8886,,0.080711,0.144531,12,5001,8882,6.529023,5.490816,0.0,233.457017,0.0,227.510654,1.606172,0.0,0.324761,8240,70080,8854
1024,0.008,0.001,44,segfold-dtonly,1327,8573,,0.08033,0.140625,10,4770,8562,6.460437,5.538056,0.0,233.506405,0.0,226.873399,1.661643,0.0,0.313489,8450,64768,8540
1024,0.008,0.002,42,segfold-dtonly,2011,16456,,0.113872,0.203125,56,10393,16423,8.182994,12.315763,0.0,225.321233,0.0,220.809547,2.047737,0.0,0.665341,12261,130752,16332
1024,0.008,0.002,43,segfold-dtonly,2059,16792,,0.113378,0.21875,72,10607,16769,8.155415,12.310345,0.0,225.110248,0.0,220.524526,2.253521,0.0,0.672657,13422,132736,16667
1024,0.008,0.002,44,segfold-dtonly,2096,16992,,0.111559,0.210938,75,10635,16950,8.10687,11.799141,0.0,225.853053,0.0,221.117366,2.318702,0.0,0.65124,13556,130112,16834
1024,0.008,0.004,42,segfold-dtonly,3986,33568,,0.119356,0.210938,440,20646,33435,8.421475,13.423733,0.0,224.54566,0.0,220.663322,2.259659,0.0,0.94581,20964,264832,33067
1024,0.008,0.004,43,segfold-dtonly,4079,34372,,0.120187,0.21875,499,21115,34227,8.426575,13.652121,0.0,224.416278,0.0,221.11596,2.305467,0.0,0.761706,21584,271744,33777
1024,0.008,0.004,44,segfold-dtonly,4179,34835,,0.117139,0.210938,444,21251,34667,8.335726,12.862407,0.0,225.154822,0.0,221.181383,2.5877,0.0,0.747069,22572,267904,34231
1024,0.008,0.008,42,segfold-dtonly,7720,66746,,0.126051,0.234375,2133,39852,66218,8.645855,14.831218,0.0,223.26658,0.0,220.129793,2.354145,0.0,0.998316,36800,528960,64702
1024,0.008,0.008,43,segfold-dtonly,7907,68120,,0.129329,0.253906,2215,40401,67533,8.615151,15.921336,0.0,222.438599,0.0,220.269382,2.334767,0.0,1.04262,37451,540608,65859
1024,0.008,0.008,44,segfold-dtonly,8041,69000,,0.124577,0.234375,2248,40934,68477,8.581022,14.570949,0.0,223.694441,0.0,220.114538,2.51909,0.0,0.927745,39030,533376,66827
1024,0.008,0.016,42,segfold-dtonly,15313,135317,,0.133984,0.246094,6982,77461,133184,8.83674,16.687063,0.0,221.465944,0.0,219.618298,2.375106,0.010579,1.334683,68901,1070272,127128
1024,0.008,0.016,43,segfold-dtonly,15395,136084,,0.137045,0.25,7042,77782,133960,8.839493,17.549659,0.0,220.6671,0.0,219.528938,2.398701,0.017083,1.110815,68474,1080000,127634
1024,0.008,0.016,44,segfold-dtonly,15571,137329,,0.132055,0.230469,7251,78986,135241,8.819536,16.191895,0.0,221.963843,0.000963,219.530216,2.475114,0.0,1.232933,70656,1063360,128748
1024,0.008,0.032,42,segfold-dtonly,29455,271930,,0.14604,0.28125,13378,155178,263698,9.232049,19.184315,0.0,218.474724,0.000373,218.029774,2.427364,0.022645,1.47873,125450,2150016,239751
1024,0.008,0.032,43,segfold-dtonly,29300,270206,,0.148113,0.261719,13140,154708,262069,9.222048,19.795119,0.0,217.943242,0.0,218.052628,2.407031,0.045904,1.488976,123566,2141440,238273
1024,0.008,0.032,44,segfold-dtonly,29553,273357,,0.1445,0.265625,13182,156572,265026,9.249721,18.723243,0.0,218.869421,0.0,217.564951,2.539539,0.011437,1.342063,128345,2116544,240647
1024,0.008,0.064,42,segfold-dtonly,54508,543899,,0.166248,0.3125,15070,315344,512132,9.978333,23.052873,0.0,213.361268,0.0,215.276473,2.479581,0.089785,1.797314,217713,4295296,425174
1024,0.008,0.064,43,segfold-dtonly,55297,539848,,0.165667,0.332031,15366,312510,508010,9.7627,23.325605,0.0,213.539071,0.000524,215.819068,2.399353,0.124383,1.949003,214708,4282368,421549
